Ano;Sigla;Área de Avaliação;CPC (Faixa)
2019;IF FARROUPILHA;ENGENHARIA DE PRODUÇÃO;4
2019;IF FARROUPILHA;ENGENHARIA DE PRODUÇÃO;5
2019;IF FARROUPILHA;ENGENHARIA ELÉTRICA;0
2019;IF FARROUPILHA;ENGENHARIA ELÉTRICA;3
2019;IF FARROUPILHA;ENGENHARIA ELÉTRICA;4
2019;IF FARROUPILHA;ENGENHARIA ELÉTRICA;5
2019;IF FARROUPILHA;ENGENHARIA FLORESTAL;2
2019;IF FARROUPILHA;ENGENHARIA FLORESTAL;3
2019;IF FARROUPILHA;ENGENHARIA FLORESTAL;4
2019;IF FARROUPILHA;ENGENHARIA FLORESTAL;5
2019;IF FARROUPILHA;ENGENHARIA MECÂNICA;2
2019;IF FARROUPILHA;ENGENHARIA MECÂNICA;3
2019;IF FARROUPILHA;ENGENHARIA MECÂNICA;4
2019;IF FARROUPILHA;ENGENHARIA MECÂNICA;5
2019;IF FARROUPILHA;ENGENHARIA QUÍMICA;3
2019;IF FARROUPILHA;ENGENHARIA QUÍMICA;4
2019;IF FARROUPILHA;ENGENHARIA QUÍMICA;5
2019;IF FARROUPILHA;FARMÁCIA;3
2019;IF FARROUPILHA;FARMÁCIA;4
2019;IF FARROUPILHA;FISIOTERAPIA;3
2019;IF FARROUPILHA;FISIOTERAPIA;4
2019;IF FARROUPILHA;FISIOTERAPIA;5
2019;IF FARROUPILHA;FONOAUDIOLOGIA;3
2019;IF FARROUPILHA;FONOAUDIOLOGIA;4
2019;IF FARROUPILHA;MEDICINA;2
2019;IF FARROUPILHA;MEDICINA;3
2019;IF FARROUPILHA;MEDICINA;4
2019;IF FARROUPILHA;MEDICINA VETERINÁRIA;2
2019;IF FARROUPILHA;MEDICINA VETERINÁRIA;3
2019;IF FARROUPILHA;MEDICINA VETERINÁRIA;4
2019;IF FARROUPILHA;MEDICINA VETERINÁRIA;5
2019;IF FARROUPILHA;NUTRIÇÃO;3
2019;IF FARROUPILHA;NUTRIÇÃO;4
2019;IF FARROUPILHA;NUTRIÇÃO;5
2019;IF FARROUPILHA;ODONTOLOGIA;3
2019;IF FARROUPILHA;ODONTOLOGIA;4
2019;IF FARROUPILHA;ODONTOLOGIA;5
2019;IF FARROUPILHA;TECNOLOGIA EM AGRONEGÓCIOS;3
2019;IF FARROUPILHA;TECNOLOGIA EM AGRONEGÓCIOS;4
2019;IF FARROUPILHA;TECNOLOGIA EM GESTÃO AMBIENTAL;0
2019;IF FARROUPILHA;TECNOLOGIA EM GESTÃO AMBIENTAL;3
2019;IF FARROUPILHA;TECNOLOGIA EM GESTÃO AMBIENTAL;4
2019;IF FARROUPILHA;TECNOLOGIA EM GESTÃO AMBIENTAL;5
2019;IF FARROUPILHA;TECNOLOGIA EM GESTÃO HOSPITALAR;3
2019;IF FARROUPILHA;TECNOLOGIA EM GESTÃO HOSPITALAR;4
2019;IF FARROUPILHA;TECNOLOGIA EM RADIOLOGIA;3
2019;IF FARROUPILHA;TECNOLOGIA EM RADIOLOGIA;4
2019;IF FARROUPILHA;TECNOLOGIA EM SEGURANÇA NO TRABALHO;4
2019;IF FARROUPILHA;ZOOTECNIA;2
2019;IF FARROUPILHA;ZOOTECNIA;3
2019;IF FARROUPILHA;ZOOTECNIA;4
2019;IF FARROUPILHA;ZOOTECNIA;5
2019;IFAC;AGRONOMIA;2
2019;IFAC;AGRONOMIA;3
2019;IFAC;AGRONOMIA;4
2019;IFAC;AGRONOMIA;5
2019;IFAC;ARQUITETURA E URBANISMO;3
2019;IFAC;ARQUITETURA E URBANISMO;4
2019;IFAC;ARQUITETURA E URBANISMO;5
2019;IFAC;BIOMEDICINA;3
2019;IFAC;BIOMEDICINA;4
2019;IFAC;EDUCAÇÃO FÍSICA (BACHARELADO);3
2019;IFAC;EDUCAÇÃO FÍSICA (BACHARELADO);4
2019;IFAC;ENFERMAGEM;0
2019;IFAC;ENFERMAGEM;3
2019;IFAC;ENFERMAGEM;4
2019;IFAC;ENFERMAGEM;5
2019;IFAC;ENGENHARIA AMBIENTAL;0
2019;IFAC;ENGENHARIA AMBIENTAL;3
2019;IFAC;ENGENHARIA AMBIENTAL;4
2019;IFAC;ENGENHARIA AMBIENTAL;5
2019;IFAC;ENGENHARIA CIVIL;3
2019;IFAC;ENGENHARIA CIVIL;4
2019;IFAC;ENGENHARIA CIVIL;5
2019;IFAC;ENGENHARIA DA COMPUTAÇÃO;3
2019;IFAC;ENGENHARIA DA COMPUTAÇÃO;4
2019;IFAC;ENGENHARIA DA COMPUTAÇÃO;5
2019;IFAC;ENGENHARIA DE ALIMENTOS;3
2019;IFAC;ENGENHARIA DE ALIMENTOS;4
2019;IFAC;ENGENHARIA DE ALIMENTOS;5
2019;IFAC;ENGENHARIA DE CONTROLE E AUTOMAÇÃO;0
2019;IFAC;ENGENHARIA DE CONTROLE E AUTOMAÇÃO;3
2019;IFAC;ENGENHARIA DE CONTROLE E AUTOMAÇÃO;4
2019;IFAC;ENGENHARIA DE CONTROLE E AUTOMAÇÃO;5
2019;IFAC;ENGENHARIA DE PRODUÇÃO;3
2019;IFAC;ENGENHARIA DE PRODUÇÃO;4
2019;IFAC;ENGENHARIA DE PRODUÇÃO;5
2019;IFAC;ENGENHARIA ELÉTRICA;0
2019;IFAC;ENGENHARIA ELÉTRICA;3
2019;IFAC;ENGENHARIA ELÉTRICA;4
2019;IFAC;ENGENHARIA ELÉTRICA;5
2019;IFAC;ENGENHARIA FLORESTAL;2
2019;IFAC;ENGENHARIA FLORESTAL;3
2019;IFAC;ENGENHARIA FLORESTAL;4
2019;IFAC;ENGENHARIA FLORESTAL;5
2019;IFAC;ENGENHARIA MECÂNICA;2
2019;IFAC;ENGENHARIA MECÂNICA;3
2019;IFAC;ENGENHARIA MECÂNICA;4
2019;IFAC;ENGENHARIA MECÂNICA;5
2019;IFAC;ENGENHARIA QUÍMICA;3
2019;IFAC;ENGENHARIA QUÍMICA;4
2019;IFAC;ENGENHARIA QUÍMICA;5
2019;IFAC;FARMÁCIA;3
2019;IFAC;FARMÁCIA;4
2019;IFAC;FISIOTERAPIA;3
2019;IFAC;FISIOTERAPIA;4
2019;IFAC;FISIOTERAPIA;5
2019;IFAC;FONOAUDIOLOGIA;3
2019;IFAC;FONOAUDIOLOGIA;4
2019;IFAC;MEDICINA;2
2019;IFAC;MEDICINA;3
2019;IFAC;MEDICINA;4
2019;IFAC;MEDICINA VETERINÁRIA;2
2019;IFAC;MEDICINA VETERINÁRIA;3
2019;IFAC;MEDICINA VETERINÁRIA;4
2019;IFAC;MEDICINA VETERINÁRIA;5
2019;IFAC;NUTRIÇÃO;3
2019;IFAC;NUTRIÇÃO;4
2019;IFAC;NUTRIÇÃO;5
